name,city,country,iata,icao,latitude,longitude,continent
Los Alamos Airport,Los Alamos,United States,LAM,KLAM,35.8797988892,-106.268997192,America
Lake Havasu City Airport,Lake Havasu City,United States,HII,KHII,34.571098,-114.358002,America
Winslow Lindbergh Regional Airport,Winslow,United States,INW,KINW,35.021900177,-110.722999573,America
Douglas Municipal Airport,Douglas,United States,DGL,KDGL,31.3425998688,-109.505996704,America
Marakei Airport,Marakei,Kiribati,MZK,NGMK,2.058609962463379,173.27099609375,Pacific
Abemama Atoll Airport,Abemama,Kiribati,AEA,NGTB,0.49083301424980164,173.82899475097656,Pacific
Buariki Airport,Buariki,Kiribati,AAK,NGUK,0.1852779984474182,173.63699340820312,\N
Kuria Airport,Kuria,Kiribati,KUC,NGKT,0.2186110019683838,173.44200134277344,Pacific
Arorae Island Airport,Arorae,Kiribati,AIS,NGTR,-2.61611008644104,176.80299377441406,Pacific
Tamana Island Airport,Tamana,Kiribati,TMN,NGTM,-2.485830068588257,175.97000122070312,Pacific
Beru Airport,Beru Island,Kiribati,BEZ,NGBR,-1.3547199964523315,176.0070037841797,Pacific
Nikunau Airport,Nikunau,Kiribati,NIG,NGNU,-1.31444001198,176.410003662,Pacific
Butaritari Atoll Airport,Butaritari,Kiribati,BBG,NGTU,3.08583,172.811005,Pacific
Makin Island Airport,Makin,Kiribati,MTK,NGMN,3.3744399547576904,172.99200439453125,Pacific
Maiana Airport,Maiana,Kiribati,MNK,NGMA,1.0036100149154663,173.031005859375,Pacific
Nonouti Airport,Nonouti,Kiribati,NON,NGTO,-0.6397219896316528,174.42799377441406,Pacific
Tabiteuea South Airport,Tabiteuea,Kiribati,TSU,NGTS,-1.4744399785995483,175.06399536132812,Pacific
Whitianga Airport,Whitianga,New Zealand,WTZ,NZWT,-36.83169937133789,175.6790008544922,Pacific
Takaka Airport,Takaka,New Zealand,KTF,NZTK,-40.81330108642578,172.77499389648438,Pacific
Afutara Aerodrome,Afutara,Solomon Islands,AFT,AGAF,-9.19138888889,160.948611111,Pacific
Ulawa Airport,Ulawa,Solomon Islands,RNA,AGAR,-9.86054358262,161.979546547,Pacific
Choiseul Bay Airport,Choiseul Bay,Solomon Islands,CHY,AGGC,-6.711944,156.396111,Pacific
Santa Ana Airport,Santa Ana,Solomon Islands,NNB,AGGT,-10.847994,162.454108,Pacific
Yandina Airport,Yandina,Solomon Islands,XYA,AGGY,-9.092816,159.21841,Pacific
Batuna Aerodrome,Batuna,Solomon Islands,BPF,AGBT,-8.56202777778,158.119305556,Pacific
Bartow Municipal Airport,Bartow,United States,BOW,KBOW,27.943399429299998,-81.78340148930002,America
Dyagilevo Air Base,Kostroma,Russia,\N,UUBD,54.64469909667969,39.57040023803711,Europe
Fitiuta Airport,Fiti\'uta,American Samoa,FTI,NSFQ,-14.2172,-169.425003,Pacific
Livermore Municipal Airport,Livermore,United States,LVK,KLVK,37.6934013367,-121.819999695,America
Mariposa Yosemite Airport,Mariposa,United States,RMY,KMPI,37.5108985901,-120.040000916,America
Grootfontein Airport,Grootfontein,Namibia,GFY,FYGF,-19.60219955444336,18.122699737548828,Africa
Rundu Airport,Rundu,Namibia,NDU,FYRU,-17.956499099731,19.719400405884,Africa
Tasiilaq Heliport,Angmagssalik,Greenland,\N,BGAM,65.612296,-37.618335,America
Jacqueline Cochran Regional Airport,Palm Springs,United States,TRM,KTRM,33.62670135498,-116.16000366211,America
Santa Monica Municipal Airport,Santa Monica,United States,SMO,KSMO,34.015800476100004,-118.450996399,America
Bermuda Dunes Airport,Palm Springs,United States,UDD,KUDD,33.748401641846,-116.27500152588,America
Scottsdale Airport,Scottsdale,United States,SCF,KSDL,33.622898101807,-111.91100311279,America
Olympia Regional Airport,Olympia,United States,OLM,KOLM,46.9693985,-122.9029999,America
Yolo County Davis Woodland Winters Airport,Davis-Woodland-Winters,United States,\N,KDWA,38.57910156,-121.8570023,America
Garfield County Regional Airport,Rifle,United States,RIL,KRIL,39.526299,-107.726997,America
Shively Field,SARATOGA,United States,SAA,KSAA,41.444901,-106.823997,America
DeKalb Peachtree Airport,Atlanta,United States,PDK,KPDK,33.8755989075,-84.3020019531,America
Monroe County Airport,Bloomington,United States,BMG,KBMG,39.145999908447266,-86.61669921875,America
Witham Field,Stuart,United States,SUA,KSUA,27.18169975,-80.22109985,America
Morristown Municipal Airport,Morristown,United States,MMU,KMMU,40.799400329589844,-74.41490173339844,America
Napa County Airport,Napa,United States,APC,KAPC,38.2132,-122.280998,America
Brown Field Municipal Airport,San Diego,United States,SDM,KSDM,32.572299957275,-116.98000335693,America
Wangen-Lachen Airport,Wangen-Lachen,Switzerland,\N,LSPV,47.2047,8.8675,Europe
Venice Municipal Airport,Venice,United States,VNC,KVNC,27.071599960327,-82.440299987793,America
Palm Beach County Glades Airport,Pahokee,United States,PHK,KPHK,26.78499985,-80.69339752,America
Northwest Florida Beaches International Airport,Panama City,United States,ECP,KECP,30.357106,-85.795414,America
San Bernardino International Airport,San Bernardino,United States,SBD,KSBD,34.0954017639,-117.23500061,America
Valença Airport,Valenca,Brazil,VAL,SNVB,-13.2965,-38.992401,America
Caruaru Airport,Caruaru,Brazil,CAU,SNRU,-8.282389640808105,-36.01350021362305,America
Wake Island Airfield,Wake island,Wake Island,AWK,PWAK,19.282100677490234,166.63600158691406,Pacific
Aeroclube Airport,Nova Iguacu,Brazil,QNV,SDNY,-22.74530029296875,-43.46030044555664,America
San Carlos Airport,San Carlos,United States,SQL,KSQL,37.511901855469,-122.25,America
Courtelary Airport,Courtelary ,Switzerland,\N,LSZJ,47.18360137939453,7.090829849243164,Europe
Lotnisko Korne,Koszalin,Poland,\N,EPKO,54.129583,17.844972,Europe
Camp Okavango Airport,Okavango Delta,Botswana,\N,FBCO,-19.131115,23.102505,Africa
Rocky Mount Wilson Regional Airport,Rocky Mount,United States,RWI,KRWI,35.856300354003906,-77.89189910888672,America
Whittier Airport,Whittier,United States,\N,PAWR,60.777198791503906,-148.7220001220703,America
Soldotna Airport,Soldotna,United States,SXQ,PASX,60.47570037841797,-151.03399658203125,America
Gillespie Field,El Cajon,United States,SEE,KSEE,32.826198577881,-116.97200012207,America
San Clemente Island Naval Auxiliary Landing Field,San Clemente Island,United States,\N,KNUC,33.02270126,-118.5879974,America
Phan Rang Airport,Phan Rang,Vietnam,PHA,VVPR,11.6335000992,108.952003479,Asia
Na-San Airport,Son-La,Vietnam,SQH,VVNS,21.216999053955078,104.03299713134766,Asia
Truckee Tahoe Airport,Truckee,United States,TKF,KTRK,39.319999694799996,-120.13999939,America
Fréjus Airport,Frejus,France,FRJ,LFTU,43.4175,6.7357,Europe
Geelong Airport,Geelong,Australia,GEX,YGLG,-38.224998474121094,144.33299255371094,Australia
Mezen Airport,Mezen,Russia,\N,ULAE,65.87833404541016,44.21500015258789,Europe
Vaskovo Airport,Arkhangelsk,Russia,\N,ULAH,64.44170379639999,40.421699523899996,Europe
Cobb County-Mc Collum Field,Atlanta,United States,\N,KRYY,34.01319885,-84.59860229,America
Brumowski  Air Base,Tulln,Austria,\N,LOXT,48.3167,16.116699,Europe
Dell Flight Strip,Dell,United States,\N,K4U9,44.7356987,-112.720001221,America
Mission Field,Livingston-Montana,United States,LVM,KLVM,45.6994018555,-110.447998047,America
Big Timber Airport,Big Timber,United States,\N,K6S0,45.806400299072266,-109.98100280761719,America
Tulip City Airport,Holland,United States,\N,KBIV,42.742900848389,-86.107398986816,America
London Heliport,London,United Kingdom,\N,EGLW,51.46972274779999,-0.179444000125,Europe
Venice-Lido Airport,Venice,Italy,\N,LIPV,45.428299,12.3881,Europe
Tallinn Linnahall Heliport,Tallinn,Estonia,\N,EECL,59.4486198425293,24.75322723388672,Europe
Hernesaari Heliport,Helsinki,Finland,\N,EFHE,60.14777755737305,24.9244441986084,Europe
Linkenheim Airport,Linkenheim,Germany,\N,EDRI,49.141666412353516,8.394721984863281,Europe
Monument Valley Airport,Monument Valley,United States,GMV,UT25,37.016700744599994,-110.200996399,America
Hilversum Airfield,Hilversum,Netherlands,\N,EHHV,52.191898,5.14694,Europe
West 30th St. Heliport,New York,United States,JRA,KJRA,40.754501,-74.007103,America
Texel Airfield,Texel,Netherlands,\N,EHTX,53.115299,4.83361,Europe
La Cerdanya Airport,Das i Fontanals de Cerdanya,Spain,\N,LECD,42.38639831542969,1.86667001247406,Europe
Lakeland Linder International Airport,Lakeland,United States,LAL,KLAL,27.988899,-82.018602,America
Stary Oskol Airport,Stary Oskol,Russia,\N,UUOS,51.32921600341797,37.76884841918945,Europe
Syangboche Airport,Syangboche,Nepal,SYH,VNSB,27.8112,86.7124,Asia
Indianola Municipal Airport,New York,United States,\N,KIDL,33.485699,-90.678902,America
Cheremshanka Airport,Krasnoyarsk,Russia,\N,UNKM,56.176998138399995,92.5400009155,Asia
French Valley Airport,Murrieta-Temecula,United States,RBK,KF70,33.5741996765,-117.127998352,America
Oristano-Fenosu Airport,Oristano,Italy,FNU,LIER,39.895308,8.642661,Europe
White Waltham Airfield,Maidenhead,United Kingdom,\N,EGLM,51.500801086399996,-0.774443984032,Europe
Mysore Airport,Mysore,India,MYQ,VOMY,12.23,76.655833,Asia
Carl R Keller Field,Port Clinton,United States,\N,KPCW,41.516300201416016,-82.86869812011719,America
Dayton-Wright Brothers Airport,Dayton,United States,MGY,KMGY,39.5890007019,-84.224899292,America
Richmond Municipal Airport,Richmond,United States,\N,KRID,39.757198333740234,-84.8427963256836,America
Findlay Airport,Findley,United States,FDY,KFDY,41.013500213600004,-83.66870117190001,America
Burlington Executive,Burlington,Canada,\N,CZBA,43.4414531515,-79.850102663,America
Penneshaw Airport,Penneshaw,Australia,PEA,YPSH,-35.7558462874,137.962875366,Australia
Engels heliport,Ebenhofen,Germany,\N,EBEN,51.211666107177734,4.5808329582214355,Europe
Emporia Municipal Airport,Kempten,Germany,EMP,KEMP,38.3320999146,-96.19120025630001,America
Skå-Edeby Airport,Essen,Germany,\N,ESSE,59.34510040283203,17.74049949645996,Europe
Wycombe Air Park,Wycombe,United Kingdom,HYC,EGTB,51.6116981506,-0.8083329796790001,Europe
Bembridge Airport,Bembridge,United Kingdom,BBP,EGHJ,50.6781005859,-1.10943996906,Europe
Waterville / Kings County Municipal Airport,Waterville,Canada,\N,CCW3,45.0518989563,-64.6517028809,America
Black Hills Airport-Clyde Ice Field,Spearfish-South Dakota,United States,SPF,KSPF,44.48030090332,-103.78299713135,America
Westkapelle heliport,Knokke,Belgium,\N,EBKW,51.32222366333,3.2930560112,Europe
Redcliffe Airport,Rothwell,Australia,\N,YRED,-27.20669937133789,153.0679931640625,Australia
Oksywie Military Air Base,Gdynia,Poland,QYD,EPOK,54.57970047,18.51720047,Europe
Malbork Military Air Base,Malbork,Poland,\N,EPMB,54.0269012451,19.134199142499998,Europe
Lask Military Air Base,Lask,Poland,\N,EPLK,51.551700592,19.179100036599998,Europe
Miroslawiec Military Air Base,Miroslawiec,Poland,\N,EPMI,53.395099639899996,16.0827999115,Europe
Krzesiny Military Air Base,Poznan,Poland,\N,EPKS,52.3316993713,16.9664001465,Europe
Olive Branch Airport,Olive Branch,United States,OLV,KOLV,34.9786987305,-89.78690338130001,America
Viña del mar Airport,Vina del Mar,Chile,KNA,SCVM,-32.9496,-71.4786,America
Brampton Airport,Brampton,Canada,\N,CNC3,43.7602996826,-79.875,America
Zonguldak Airport,Zonguldak,Turkey,ONQ,LTAS,41.506401062,32.0886001587,Europe
Rocky Mountain Metropolitan Airport,Broomfield-CO,United States,BJC,KBJC,39.90879822,-105.1169968,America
Salem Municipal Airport/McNary Field,Salem,United States,SLE,KSLE,44.90950012,-123.0029984,America
Tunica Municipal Airport,Tunica,United States,UTM,KUTA,34.680999755859,-90.346702575684,America
Batken Airport,Batken,Kyrgyzstan,\N,UA30,40.042899,70.83784,Asia
Kasaba Bay Airport,Kasaba Bay,Zambia,ZKB,FLKY,-8.524999618530273,30.663000106811523,Africa
Hunt Field,Lindau,Germany,LND,KLND,42.8152008057,-108.730003357,America
Hoogeveen Airfield,Hoogeveen,Netherlands,\N,EHHO,52.730801,6.51611,Europe
Teuge Airport,Deventer,Netherlands,\N,EHTE,52.2447013855,6.04666996002,Europe
Midden-Zeeland Airport,Middelburg,Netherlands,\N,EHMZ,51.5121994019,3.73111009598,Europe
Ameland Airfield,Ameland,Netherlands,\N,EHAL,53.451698,5.67722,Europe
Saint-Cyr-l'École Airport,Saint-Cyr,France,\N,LFPZ,48.8114013671875,2.0747199058532715,Europe
Lawrence J Timmerman Airport,Milwaukee,United States,MWC,KMWC,43.110401,-88.034401,America
Southern Wisconsin Regional Airport,Janesville,United States,JVL,KJVL,42.620300293,-89.0416030884,America
Mantsonyane Airport,Mantsonyane,Lesotho,\N,FXMN,-29.546100616455078,28.270999908447266,Africa
Arlington Municipal Airport,Arlington,United States,\N,KGKY,32.66389846801758,-97.09429931640625,America
Gwinnett County Briscoe Field,Lawrenceville,United States,LZU,KLZU,33.97809982,-83.96240234,America
Bowling Green Warren County Regional Airport,Bowling Green,United States,BWG,KBWG,36.964500427199994,-86.41970062259999,America
Richard Lloyd Jones Jr Airport,Tulsa,United States,RVS,KRVS,36.039600372314,-95.984596252441,America
Al Minhad Air Base,Minhad AB,United Arab Emirates,NHD,OMDM,25.0268001556,55.3661994934,Asia
Kirovograd Airport,Kirovograd,Ukraine,KGO,UKKG,48.54280090332031,32.28499984741211,Europe
Roitzschjora Airfield,Roitzschjora,Germany,\N,EDAW,51.577778,12.494444,Europe
El Alamein International Airport,Dabaa City,Egypt,DBB,HEAL,30.92449951171875,28.46139907836914,Africa
Bryce Canyon Airport,Bryce Canyon,United States,BCE,KBCE,37.706401825,-112.144996643,America
Burlington Alamance Regional Airport,Burlington,United States,\N,KBUY,36.048500061035156,-79.47489929199219,America
Chkalovskiy Air Base,Shchyolkovo,Russia,CKL,UUMU,55.8783,38.061699,Europe
Tengchong Tuofeng Airport,Tengchong,China,TCZ,ZUTC,24.9380555556,98.48583333330001,Asia
Belbek Airport,Sevastopol,Ukraine,UKS,UKFB,44.688999176,33.570999145500004,Europe
De Peel Air Base,Deurne,Netherlands,\N,EHDP,51.51729965209961,5.855720043182373,Europe
Camp Bastion Airport,Camp Bastion,Afghanistan,OAZ,OAZI,31.863800048799998,64.2246017456,Asia
New Century Aircenter Airport,Olathe,United States,JCI,KIXD,38.8308982849,-94.890296936,America
Easton Newnam Field,Easton,United States,ESN,KESN,38.8041992188,-76.06900024410001,America
Stafsberg Airport,Hamar,Norway,HMR,ENHA,60.81809997558594,11.067999839782715,Europe
Ringebu Airfield Frya,Frya,Norway,\N,ENRI,61.545440673,10.061588287,Europe
Yuba County Airport,Yuba City,United States,MYV,KMYV,39.09780121,-121.5699997,America
Phillip Island Airport,Phillip Island,Australia,\N,YPID,-38.52330017089844,145.32699584960938,Australia
Halliburton Field,Duncan,United States,DUC,KDUC,34.47090149,-97.9598999,America
Garner Field,Uvalde,United States,UVA,KUVA,29.2112998962,-99.743598938,America
Lewis University Airport,Lockport,United States,LOT,KLOT,41.6072998,-88.09619904,America
Buchanan Field,Concord,United States,CCR,KCCR,37.9897003174,-122.056999207,America
Ocean Reef Club Airport,Ocean Reef Club Airport,United States,OCA,07FA,25.325399398804,-80.274803161621,America
Strasbourg Neuhof Airfield,Strasbourg Neudorf,France,\N,LFGC,48.554401,7.77806,Europe
Nannhausen Airport,Nannhausen,Germany,\N,EDRN,49.9702796936,7.47916698456,Europe
Yushu Batang Airport,Yushu,China,YUS,ZYLS,32.836388888900004,97.0363888889,Asia
Lianshui Airport,Huai An,China,HIA,ZSSH,33.7908333333,119.125,Asia
Toronto/Oshawa Executive Airport,Oshawa,Canada,YOO,CYOO,43.922798,-78.894997,America
Marl-Loemühle Airfield,Recklinghausen,Germany,\N,EDLM,51.647202,7.16333,Europe
Färila Air Base,Farila,Sweden,\N,ESNF,61.897998809814,15.705300331116,Europe
Lahr Airport,Lahr,Germany,LHA,EDTL,48.3693008423,7.82772016525,Europe
Monywar Airport,Monywa,Burma,NYW,VYMY,22.221638,95.093479,Asia
Ohio University Snyder Field,Athens,United States,ATO,KUNI,39.2109985352,-82.23139953610001,America
Springfield-Beckley Municipal Airport,Springfield,United States,SGH,KSGH,39.840301513672,-83.840202331543,America
Sun Island Resort and SPA,South Aari Atoll,Maldives,\N,\N,3.488334,72.862989,America
Fes Sefrou Airport,Fes,Morocco,\N,GMFU,34.00809860229492,-4.965559959411621,Africa
Herrera Airport,Santo Domingo,Dominican Republic,HEX,MDHE,18.4696998596,-69.9693984985,America
Cooinda Airport,Cooinda,Australia,CDA,YCOO,-12.903300285339355,132.53199768066406,Australia
Jabiru Airport,Jabiru,Australia,JAB,YJAB,-12.658300399780273,132.89300537109375,Australia
Regensburg-Oberhub Airport,Regensburg,Germany,\N,EDNR,49.141944885253906,12.081944465637207,Europe
Hastings Airport,Freetown,Sierra Leone,HGS,GFHA,8.397130012512207,-13.12909984588623,Africa
Philip Billard Municipal Airport,Topeka,United States,TOP,KTOP,39.068698883057,-95.622497558594,America
Benson Airstrip,Uvalde,United States,\N,2XS8,29.229400634765625,-99.82389831542969,America
Rough River State Park Airport,Null,United States,\N,K2I3,37.610022,-86.507262,America
Smyrna Airport,Smyrna,United States,MQY,KMQY,36.0089988708,-86.5201034546,America
Franklin County Airport,Sewanee,United States,UOS,KUOS,35.205101013184,-85.898101806641,America
Ngari Gunsa Airport,Shiquanhe,China,NGQ,ZUAL,32.1,80.0530555556,Asia
Cochstedt Airport,Cochstedt,Germany,CSO,EDBC,51.8563995361,11.42029953,Europe
Collin County Regional At Mc Kinney Airport,DALLAS,United States,\N,KTKI,33.17789841,-96.59049988,America
Chicago Executive Airport,Chicago-Wheeling,United States,PWK,KPWK,42.114222,-87.901494,America
Southwest Washington Regional Airport,Kelso,United States,KLS,KKLS,46.11800003049999,-122.898002625,America
Benešov Airport,Benesov,Czech Republic,\N,LKBE,49.74079895019531,14.644700050354004,Europe
Bougouni Airport,Bougouni,Mali,\N,GABG,11.449999809265137,-7.517000198364258,Africa
Tureia Airport,Tureia,French Polynesia,ZTA,NTGY,-20.78969955444336,-138.57000732421875,\N
McMurdo Station Ice Runway,Ross Island,Antarctica,\N,NZIR,-77.85399627685547,166.468994140625,Antarctica
Keekorok Airport,Keekorok,Kenya,\N,HKKE,-1.5829999446868896,35.25,Africa
Puerto Obaldia Airport,Puerto Obaldia,Panama,PUE,MPOA,8.667,-77.418,America
Kerch Airport,Kerch,Ukraine,KHC,UKFK,45.372501373291016,36.40140151977539,Europe
Ukunda Airstrip,Ukunda,Kenya,UKA,HKUK,-4.29333,39.571098,Africa
Wilmington Airpark,Wilmington,United States,ILN,KILN,39.427898407,-83.792098999,America
Marana Regional Airport,Tucson,United States,AVW,KAVQ,32.4095993042,-111.218002319,America
Casa Grande Municipal Airport,Casa Grande,United States,CGZ,KCGZ,32.954899,-111.766998,America
Mobile Airport,Mobile,United States,\N,1AZ0,33.111900329589844,-112.26899719238281,America
Buckeye Municipal Airport,Buckeye,United States,BXK,KBXK,33.42039871,-112.685997,America
Gila Bend Municipal Airport,Gila Bend,United States,\N,KE63,32.95809937,-112.6780014,America
McMinn County Airport,Athens,United States,MMI,KMMI,35.39730072,-84.56259918,America
Sterling Municipal Airport,Sterling,United States,STK,KSTK,40.61529922,-103.2649994,America
Rawlins Municipal Airport/Harvey Field,Rawlins,United States,RWL,KRWL,41.80559921,-107.1999969,America
Mackenzie Airport,Mackenzie British Columbia,Canada,\N,CYZY,55.304402,-123.132004,America
Essex County Airport,Caldwell,United States,CDW,KCDW,40.875198364300005,-74.2814025879,America
Lee C Fine Memorial Airport,Kaiser Lake Ozark,United States,AIZ,KAIZ,38.0960006714,-92.54949951170002,America
Thomasville Regional Airport,Thomasville,United States,TVI,KTVI,30.901599884033,-83.881301879883,America
Henderson Executive Airport,Henderson,United States,HSH,KHND,35.9728012085,-115.134002686,America
Gostomel Airport,Kiev,Ukraine,GML,UKKM,50.60350036621094,30.1919002532959,Europe
